1,A0,0,0,-300.4,É¸Ñ¡Ë÷µã£º,1,A0,0,0,-300.4,¶¥µã£º,0,0,-302.7418,µ×¶Ë£º,0,0,-304.7218
2,B1,6.1078,8.407,-300.2202,,2,B1,6.1078,8.407,-300.2202,,6.1532,8.4696,-302.453,,6.1935,8.525,-304.4318
3,C1,9.8827,-3.211,-300.2202,,3,C1,9.8827,-3.211,-300.2202,,9.9576,-3.2348,-302.4959,,10.0227,-3.256,-304.4747
4,D1,0,-10.391,-300.2202,,4,D1,0,-10.391,-300.2202,,0,-10.4695,-302.508,,0,-10.538,-304.4868
5,E1,-9.8827,-3.211,-300.2202,,5,E1,-9.8827,-3.211,-300.2202,,-9.9563,-3.2348,-302.4549,,-10.0214,-3.256,-304.4337
6,A1,-6.1078,8.407,-300.2202,,6,A1,-6.1078,8.407,-300.2202,,-6.1541,8.4706,-302.4936,,-6.1944,8.526,-304.4724
7,A3,0,16.818,-299.9289,,7,A3,0,16.818,-299.9289,,0,16.9402,-302.1196,,0,17.051,-304.0965
8,B2,12.2084,16.804,-299.6811,,8,B2,12.2084,16.804,-299.6811,,12.2996,16.9292,-301.9207,,12.3801,17.04,-303.896
9,B3,15.9942,5.197,-299.9289,,9,B3,15.9942,5.197,-299.9289,,16.1128,5.2357,-302.1534,,16.2182,5.27,-304.1303
10,C2,19.7536,-6.418,-299.6811,,10,C2,19.7536,-6.418,-299.6811,,19.8986,-6.4647,-301.8826,,20.0288,-6.507,-303.8579
11,C3,9.885,-13.605,-299.9289,,11,C3,9.885,-13.605,-299.9289,,9.9583,-13.7063,-302.1551,,10.0235,-13.796,-304.132
12,D2,0,-20.77,-299.6811,,12,D2,0,-20.77,-299.6811,,0,-20.9211,-301.8702,,0,-21.058,-303.8455
13,D3,-9.885,-13.605,-299.9289,,13,D3,-9.885,-13.605,-299.9289,,-9.9582,-13.7063,-302.1525,,-10.0234,-13.796,-304.1294
14,E2,-19.7536,-6.418,-299.6811,,14,E2,-19.7536,-6.418,-299.6811,,-19.8986,-6.4647,-301.8821,,-20.0288,-6.507,-303.8574
15,E3,-15.9942,5.197,-299.9289,,15,E3,-15.9942,5.197,-299.9289,,-16.1116,5.2347,-302.1307,,-16.217,5.269,-304.1076
16,A2,-12.2084,16.804,-299.6811,,16,A2,-12.2084,16.804,-299.6811,,-12.2986,16.9282,-301.8962,,-12.3791,17.039,-303.8715
17,A5,-6.1079,25.236,-299.2759,,17,A5,-6.1079,25.236,-299.2759,,-6.1539,25.4257,-301.5311,,-6.1942,25.592,-303.5037
18,A6,6.1079,25.236,-299.2759,,18,A6,6.1079,25.236,-299.2759,,6.1536,25.4247,-301.5166,,6.1939,25.591,-303.4892
19,B4,18.2943,25.18,-298.7833,,19,B4,18.2943,25.18,-298.7833,,18.432,25.37,-301.0327,,18.5526,25.536,-303.002
20,B5,22.1129,13.607,-299.2759,,20,B5,22.1129,13.607,-299.2759,,22.2844,13.7133,-301.5978,,22.4302,13.803,-303.5704
21,B6,25.8877,1.99,-299.2759,,21,B6,25.8877,1.99,-299.2759,,26.0855,2.0049,-301.5616,,26.2561,2.018,-303.5342
22,C4,29.6008,-9.617,-298.7833,,22,C4,29.6008,-9.617,-298.7833,,29.8211,-9.6886,-301.0068,,30.0162,-9.752,-302.9761
23,C5,19.7744,-16.825,-299.2759,,23,C5,19.7744,-16.825,-299.2759,,19.9254,-16.9541,-301.5611,,20.0557,-17.065,-303.5337
24,C6,9.8916,-24.006,-299.2759,,24,C6,9.8916,-24.006,-299.2759,,9.9663,-24.1868,-301.5324,,10.0315,-24.345,-303.505
25,D4,0,-31.124,-298.7833,,25,D4,0,-31.124,-298.7833,,0,-31.3569,-301.0261,,0,-31.562,-302.9954
