A0,B1,C1,0,0,-300.4,6.1078,8.407,-300.2202,9.8827,-3.211,-300.2202,,-0.000304272,-0.0000896,-300.3601886,6.105016402,8.403362499,-300.0871017,9.879404387,-3.209335377,-300.1190417
A0,B1,A1,0,0,-300.4,6.1078,8.407,-300.2202,-6.1078,8.407,-300.2202,,-0.000304272,-0.0000896,-300.3601886,6.105016402,8.403362499,-300.0871017,-6.106797639,8.405573925,-300.1709719
A0,C1,D1,0,0,-300.4,9.8827,-3.211,-300.2202,0,-10.391,-300.2202,,-0.000304272,-0.0000896,-300.3601886,9.879404387,-3.209335377,-300.1190417,-6.52E-23,-10.39077401,-300.2337958
A0,D1,E1,0,0,-300.4,0,-10.391,-300.2202,-9.8827,-3.211,-300.2202,,-0.000304272,-0.0000896,-300.3601886,-6.52E-23,-10.39077401,-300.2337958,-9.884495511,-3.211416664,-300.2723082
A0,E1,A1,0,0,-300.4,-9.8827,-3.211,-300.2202,-6.1078,8.407,-300.2202,,-0.000304272,-0.0000896,-300.3601886,-9.884495511,-3.211416664,-300.2723082,-6.106797639,8.405573925,-300.1709719
B1,C1,B3,6.1078,8.407,-300.2202,9.8827,-3.211,-300.2202,15.9942,5.197,-299.9289,,6.105016402,8.403362499,-300.0871017,9.879404387,-3.209335377,-300.1190417,15.98426362,5.193870799,-299.7425502
B1,A1,A3,6.1078,8.407,-300.2202,-6.1078,8.407,-300.2202,0,16.818,-299.9289,,6.105016402,8.403362499,-300.0871017,-6.106797639,8.405573925,-300.1709719,5.89E-21,16.80930133,-299.7840984
B1,A3,B2,6.1078,8.407,-300.2202,0,16.818,-299.9289,12.2084,16.804,-299.6811,,6.105016402,8.403362499,-300.0871017,5.89E-21,16.80930133,-299.7840984,12.19943928,16.79133904,-299.4629675
B1,B2,B3,6.1078,8.407,-300.2202,12.2084,16.804,-299.6811,15.9942,5.197,-299.9289,,6.105016402,8.403362499,-300.0871017,12.19943928,16.79133904,-299.4629675,15.98426362,5.193870799,-299.7425502
C1,D1,C3,9.8827,-3.211,-300.2202,0,-10.391,-300.2202,9.885,-13.605,-299.9289,,9.879404387,-3.209335377,-300.1190417,-6.52E-23,-10.39077401,-300.2337958,9.88294599,-13.60263045,-299.8703248
C1,B3,C2,9.8827,-3.211,-300.2202,15.9942,5.197,-299.9289,19.7536,-6.418,-299.6811,,9.879404387,-3.209335377,-300.1190417,15.98426362,5.193870799,-299.7425502,19.74246961,-6.41397561,-299.5139029
C1,C2,C3,9.8827,-3.211,-300.2202,19.7536,-6.418,-299.6811,9.885,-13.605,-299.9289,,9.879404387,-3.209335377,-300.1190417,19.74246961,-6.41397561,-299.5139029,9.88294599,-13.60263045,-299.8703248
D1,E1,D3,0,-10.391,-300.2202,-9.8827,-3.211,-300.2202,-9.885,-13.605,-299.9289,,-6.52E-23,-10.39077401,-300.2337958,-9.884495511,-3.211416664,-300.2723082,-9.888389868,-13.61025753,-300.0358182
D1,C3,D2,0,-10.391,-300.2202,9.885,-13.605,-299.9289,0,-20.77,-299.6811,,-6.52E-23,-10.39077401,-300.2337958,9.88294599,-13.60263045,-299.8703248,-1.14E-21,-20.77301171,-299.7334666
D1,D2,D3,0,-10.391,-300.2202,0,-20.77,-299.6811,-9.885,-13.605,-299.9289,,-6.52E-23,-10.39077401,-300.2337958,-1.14E-21,-20.77301171,-299.7334666,-9.888389868,-13.61025753,-300.0358182
E1,A1,E3,-9.8827,-3.211,-300.2202,-6.1078,8.407,-300.2202,-15.9942,5.197,-299.9289,,-9.884495511,-3.211416664,-300.2723082,-6.106797639,8.405573925,-300.1709719,-15.99609886,5.197112816,-299.9643413
E1,D3,E2,-9.8827,-3.211,-300.2202,-9.885,-13.605,-299.9289,-19.7536,-6.418,-299.6811,,-9.884495511,-3.211416664,-300.2723082,-9.888389868,-13.61025753,-300.0358182,-19.76246607,-6.420472155,-299.8167747
E1,E2,E3,-9.8827,-3.211,-300.2202,-19.7536,-6.418,-299.6811,-15.9942,5.197,-299.9289,,-9.884495511,-3.211416664,-300.2723082,-19.76246607,-6.420472155,-299.8167747,-15.99609886,5.197112816,-299.9643413
A1,A3,A2,-6.1078,8.407,-300.2202,0,16.818,-299.9289,-12.2084,16.804,-299.6811,,-6.106797639,8.405573925,-300.1709719,5.89E-21,16.80930133,-299.7840984,-12.2053132,16.79980028,-299.6071389
A1,E3,A2,-6.1078,8.407,-300.2202,-15.9942,5.197,-299.9289,-12.2084,16.804,-299.6811,,-6.106797639,8.405573925,-300.1709719,-15.99609886,5.197112816,-299.9643413,-12.2053132,16.79980028,-299.6071389
A3,B2,A6,0,16.818,-299.9289,12.2084,16.804,-299.6811,6.1079,25.236,-299.2759,,5.89E-21,16.80930133,-299.7840984,12.19943928,16.79133904,-299.4629675,6.103125856,25.21641588,-299.0459971
A3,A2,A5,0,16.818,-299.9289,-12.2084,16.804,-299.6811,-6.1079,25.236,-299.2759,,5.89E-21,16.80930133,-299.7840984,-12.2053132,16.79980028,-299.6071389,-6.10438684,25.22138143,-299.1075352
A3,A5,A6,0,16.818,-299.9289,-6.1079,25.236,-299.2759,6.1079,25.236,-299.2759,,5.89E-21,16.80930133,-299.7840984,-6.10438684,25.22138143,-299.1075352,6.103125856,25.21641588,-299.0459971
B2,B3,B5,12.2084,16.804,-299.6811,15.9942,5.197,-299.9289,22.1129,13.607,-299.2759,,12.19943928,16.79133904,-299.4629675,15.98426362,5.193870799,-299.7425502,22.09358103,13.59590315,-299.0161162
B2,A6,B4,12.2084,16.804,-299.6811,6.1079,25.236,-299.2759,18.2943,25.18,-298.7833,,12.19943928,16.79133904,-299.4629675,6.103125856,25.21641588,-299.0459971,18.27676304,25.15632392,-298.4978066
B2,B4,B5,12.2084,16.804,-299.6811,18.2943,25.18,-298.7833,22.1129,13.607,-299.2759,,12.19943928,16.79133904,-299.4629675,18.27676304,25.15632392,-298.4978066,22.09358103,13.59590315,-299.0161162
B3,C2,B6,15.9942,5.197,-299.9289,19.7536,-6.418,-299.6811,25.8877,1.99,-299.2759,,15.98426362,5.193870799,-299.7425502,19.74246961,-6.41397561,-299.5139029,25.86704498,1.988125318,-299.0356658
B3,B5,B6,15.9942,5.197,-299.9289,22.1129,13.607,-299.2759,25.8877,1.99,-299.2759,,15.98426362,5.193870799,-299.7425502,22.09358103,13.59590315,-299.0161162,25.86704498,1.988125318,-299.0356658
C2,C3,C5,19.7536,-6.418,-299.6811,9.885,-13.605,-299.9289,19.7744,-16.825,-299.2759,,19.74246961,-6.41397561,-299.5139029,9.88294599,-13.60263045,-299.8703248,19.76550867,-16.81801444,-299.1405195
C2,B6,C4,19.7536,-6.418,-299.6811,25.8877,1.99,-299.2759,29.6008,-9.617,-298.7833,,19.74246961,-6.41397561,-299.5139029,25.86704498,1.988125318,-299.0356658,29.57792909,-9.609578802,-298.5522819
C2,C4,C5,19.7536,-6.418,-299.6811,29.6008,-9.617,-298.7833,19.7744,-16.825,-299.2759,,19.74246961,-6.41397561,-299.5139029,29.57792909,-9.609578802,-298.5522819,19.76550867,-16.81801444,-299.1405195
C3,D2,C6,9.885,-13.605,-299.9289,0,-20.77,-299.6811,9.8916,-24.006,-299.2759,,9.88294599,-13.60263045,-299.8703248,-1.14E-21,-20.77301171,-299.7334666,9.890748475,-24.00348326,-299.2466187
C3,C5,C6,9.885,-13.605,-299.9289,19.7744,-16.825,-299.2759,9.8916,-24.006,-299.2759,,9.88294599,-13.60263045,-299.8703248,19.76550867,-16.81801444,-299.1405195,9.890748475,-24.00348326,-299.2466187
D2,D3,D5,0,-20.77,-299.6811,-9.885,-13.605,-299.9289,-9.8916,-24.006,-299.2759,,-1.14E-21,-20.77301171,-299.7334666,-9.888389868,-13.61025753,-300.0358182,-9.896401169,-24.01701511,-299.4199096
