A0,B1,C1,1,2,3,1,0,0,-300.4,6.1078,8.407,-300.2202,9.8827,-3.211,-300.2202,1,0,0,-300.4,6.1078,8.407,-300.2202,9.8827,-3.211,-300.2202
A0,B1,A1,1,2,6,2,0,0,-300.4,6.1078,8.407,-300.2202,-6.1078,8.407,-300.2202,2,0,0,-300.4,6.1078,8.407,-300.2202,-6.1078,8.407,-300.2202
A0,C1,D1,1,3,4,3,0,0,-300.4,9.8827,-3.211,-300.2202,0,-10.391,-300.2202,3,0,0,-300.4,9.8827,-3.211,-300.2202,0,-10.391,-300.2202
A0,D1,E1,1,4,5,4,0,0,-300.4,0,-10.391,-300.2202,-9.8827,-3.211,-300.2202,4,0,0,-300.4,0,-10.391,-300.2202,-9.8827,-3.211,-300.2202
A0,E1,A1,1,5,6,5,0,0,-300.4,-9.8827,-3.211,-300.2202,-6.1078,8.407,-300.2202,5,0,0,-300.4,-9.8827,-3.211,-300.2202,-6.1078,8.407,-300.2202
B1,C1,B3,2,3,9,6,6.1078,8.407,-300.2202,9.8827,-3.211,-300.2202,15.9942,5.197,-299.9289,6,6.1078,8.407,-300.2202,9.8827,-3.211,-300.2202,15.9942,5.197,-299.9289
B1,A1,A3,2,6,7,7,6.1078,8.407,-300.2202,-6.1078,8.407,-300.2202,0,16.818,-299.9289,7,6.1078,8.407,-300.2202,-6.1078,8.407,-300.2202,0,16.818,-299.9289
B1,A3,B2,2,7,8,8,6.1078,8.407,-300.2202,0,16.818,-299.9289,12.2084,16.804,-299.6811,8,6.1078,8.407,-300.2202,0,16.818,-299.9289,12.2084,16.804,-299.6811
B1,B2,B3,2,8,9,9,6.1078,8.407,-300.2202,12.2084,16.804,-299.6811,15.9942,5.197,-299.9289,9,6.1078,8.407,-300.2202,12.2084,16.804,-299.6811,15.9942,5.197,-299.9289
C1,D1,C3,3,4,11,10,9.8827,-3.211,-300.2202,0,-10.391,-300.2202,9.885,-13.605,-299.9289,10,9.8827,-3.211,-300.2202,0,-10.391,-300.2202,9.885,-13.605,-299.9289
C1,B3,C2,3,9,10,11,9.8827,-3.211,-300.2202,15.9942,5.197,-299.9289,19.7536,-6.418,-299.6811,11,9.8827,-3.211,-300.2202,15.9942,5.197,-299.9289,19.7536,-6.418,-299.6811
C1,C2,C3,3,10,11,12,9.8827,-3.211,-300.2202,19.7536,-6.418,-299.6811,9.885,-13.605,-299.9289,12,9.8827,-3.211,-300.2202,19.7536,-6.418,-299.6811,9.885,-13.605,-299.9289
D1,E1,D3,4,5,13,13,0,-10.391,-300.2202,-9.8827,-3.211,-300.2202,-9.885,-13.605,-299.9289,13,0,-10.391,-300.2202,-9.8827,-3.211,-300.2202,-9.885,-13.605,-299.9289
D1,C3,D2,4,11,12,14,0,-10.391,-300.2202,9.885,-13.605,-299.9289,0,-20.77,-299.6811,14,0,-10.391,-300.2202,9.885,-13.605,-299.9289,0,-20.77,-299.6811
D1,D2,D3,4,12,13,15,0,-10.391,-300.2202,0,-20.77,-299.6811,-9.885,-13.605,-299.9289,15,0,-10.391,-300.2202,0,-20.77,-299.6811,-9.885,-13.605,-299.9289
E1,A1,E3,5,6,15,16,-9.8827,-3.211,-300.2202,-6.1078,8.407,-300.2202,-15.9942,5.197,-299.9289,16,-9.8827,-3.211,-300.2202,-6.1078,8.407,-300.2202,-15.9942,5.197,-299.9289
E1,D3,E2,5,13,14,17,-9.8827,-3.211,-300.2202,-9.885,-13.605,-299.9289,-19.7536,-6.418,-299.6811,17,-9.8827,-3.211,-300.2202,-9.885,-13.605,-299.9289,-19.7536,-6.418,-299.6811
E1,E2,E3,5,14,15,18,-9.8827,-3.211,-300.2202,-19.7536,-6.418,-299.6811,-15.9942,5.197,-299.9289,18,-9.8827,-3.211,-300.2202,-19.7536,-6.418,-299.6811,-15.9942,5.197,-299.9289
A1,A3,A2,6,7,16,19,-6.1078,8.407,-300.2202,0,16.818,-299.9289,-12.2084,16.804,-299.6811,19,-6.1078,8.407,-300.2202,0,16.818,-299.9289,-12.2084,16.804,-299.6811
A1,E3,A2,6,15,16,20,-6.1078,8.407,-300.2202,-15.9942,5.197,-299.9289,-12.2084,16.804,-299.6811,20,-6.1078,8.407,-300.2202,-15.9942,5.197,-299.9289,-12.2084,16.804,-299.6811
